	Title	Price	Baths	Land size	Beds	House size	Brand New	Town	District
95	House	7500000	1	20.0	3	850.0	0	 Horana	  Kalutara
96	House	70000000	4	20.0	5	5450.0	0	 Nugegoda	  Colombo
97	House	24500000	3	10.0	5	3000.0	0	 Homagama	  Colombo
98	House	20500000	3	6.5	3	1900.0	0	 Homagama	  Colombo
99	House	24500000	2	7.42	4	1600.0	0	 Moratuwa	  Colombo
100	House	29800000	4	6.0	5	3800.0	0	 Homagama	  Colombo
101	House	28000000	3	15.0	4	4000.0	0	 Homagama	  Colombo
102	House	12900000	2	13.5	2	4000.0	0	 Nittambuwa	  Gampaha
103	House	29500000	3	16.5	3	1200.0	0	 Malabe	  Colombo
104	House	35000000	4	8.0	5	3600.0	0	 Malabe	  Colombo
105	House	26500000	2	7.0	3	1250.0	0	 Malabe	  Colombo
106	House	15500000	1	6.8	3	2000.0	0	 Malabe	  Colombo
107	House	16000000	2	10.5	3	1400.0	0	 Malabe	  Colombo
108	House	17000000	2	7.5	3	1300.0	0	 Malabe	  Colombo
109	House	32000000	2	6.0	6	2000.0	0	 Wellampitiya	  Colombo
110	House	1600000	1	40.0	1	1200.0	0	 Monaragala City	  Monaragala
111	House	120000000	2	20.0	3	3000.0	0	 Colombo 5	  Colombo
112	House	1450000	3	26.0	4	1800.0	0	 Kaduwela	  Colombo
113	House	220000000	3	10.1	4	2750.0	0	 Colombo 3	  Colombo
114	House	45000000	3	7.0	5	3500.0	0	 Kohuwala	  Colombo
115	House	70000000	6	17.0	5	7240.0	0	 Talawatugoda	  Colombo
116	House	25500000	3	7.5	4	2550.0	0	 Piliyandala	  Colombo
117	House	33500000	4	16.2	6	3600.0	0	 Kottawa	  Colombo
118	House	14500000	2	6.8	2	900.0	0	 Pannipitiya	  Colombo
119	House	27000000	3	7.0	4	2400.0	0	 Kottawa	  Colombo
120	House	24800000	3	6.0	4	2400.0	0	 Piliyandala	  Colombo
121	House	65000	2	12.0	3	1800.0	0	 Nugegoda	  Colombo
122	House	28500000	4	15.0	4	3000.0	0	 Piliyandala	  Colombo
123	House	21500000	4	9.5	4	2300.0	0	 Piliyandala	  Colombo
124	House	36000000	3	10.0	4	3500.0	1	 Kandana	  Gampaha
125	House	27000000	3	7.5	5	2700.0	0	 Piliyandala	  Colombo
126	House	41000000	3	6.0	4	1644.0	0	 Kolonnawa	  Colombo
127	House	26000000	3	7.0	4	2400.0	0	 Piliyandala	  Colombo
128	House	16500000	3	24.8	4	3000.0	0	 Matugama	  Kalutara
129	House	40000000	2	7.0	3	3300.0	0	 Talawatugoda	  Colombo
130	House	16000000	2	17.0	4	2000.0	0	 Athurugiriya	  Colombo
131	House	22000000	2	15.4	4	3000.0	0	 Piliyandala	  Colombo
132	House	30500000	4	8.0	4	3500.0	1	 Piliyandala	  Colombo
133	House	21500000	2	9.3	3	2000.0	0	 Piliyandala	  Colombo
134	House	13500000	2	10.0	4	2400.0	0	 Ganemulla	  Gampaha
135	House	40000000	3	7.8	6	3000.0	0	 Colombo 6	  Colombo
136	House	45000000	3	9.9	5	2650.0	0	 Rajagiriya	  Colombo
137	House	45000000	3	9.33	5	3100.0	0	 Kotte	  Colombo
138	House	18500000	2	10.0	3	1200.0	0	 Piliyandala	  Colombo
139	House	24800000	3	6.5	4	2800.0	0	 Piliyandala	  Colombo
140	House	40000000	4	10.0	4	3100.0	0	 Piliyandala	  Colombo
141	House	26500000	3	10.5	4	3152.0	0	 Negombo	  Gampaha
